input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
it bit you.,i'm not a.!,keep your hands off me!,what's the matter with you?,i don't want to hear it,anyway i'm really glad you're here,clustered/random_sampling_temp0.5.json_7,clustered/iterative_beam_search_bs5_ibs100.json_8,original/iterative_beam_search_bs5_ibs10.json_1,clustered/beam_search_bs100_kpercand3.json_7,original/random_sampling_temp1.0.json_3,44,the bourbon. the news about ugarte upset me very much.,i don't know what i'm talking about,i'll be right back,i don't know what to do,i'm sorry to hear that,i've got to get out of here!,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/standard_beam_search_bs100_npad0.3.json_7,original/beam_search_bs10_kpercand3.json_3,clustered/standard_beam_search_bs100.json_7,original/standard_beam_search_bs10_npad0.3.json_9,60,ssh. i'm on a stakeout.,i don't know what's going on,i'll be back in a moment,you've got to get out of here,this is the best i can do,i don't have time for this,original/standard_beam_search_bs10.json_5,original/standard_beam_search_bs10_npad0.3.json_5,original/random_sampling_temp1.0_top10.json_0,original/random_sampling_temp0.7.json_5,clustered/clustering_beam_search_bs100_cbs5.json_4,67,do you think they'll walk away?,i don't know what you're talking about!,i don't think so sir,i don't know what they're saying,i don't know what they're going to do,they're not even here,original/standard_beam_search_bs10.json_6,original/iterative_beam_search_bs5_ibs10.json_0,original/beam_search_bs10_kpercand3.json_5,original/standard_beam_search_bs10_npad0.3.json_9,original/random_sampling_temp0.5.json_6,90,your ideas never work out.,you're the only one who can help,we don't have the guns to open a window in eight days,you know what i'm saying?,you've got to be kidding,you know what i mean?,original/diverse_beam_search_bs10_dbs0.8.json_4,original/random_sampling_temp1.0.json_8,original/diverse_beam_search_bs10_dbs0.8.json_1,clustered/beam_search_bs100_kpercand3.json_6,original/clustering_beam_search_bs10_cbs5.json_0,54
i'm supposed to speak at their tenth anniversary.,i don't know what to say,you're a good girl,i don't know if i can do it,that's why i'm here,i've had enough of this anniversary,original/clustering_beam_search_bs10_cbs5.json_1,clustered/random_sampling_temp1.0_top100.json_2,original/standard_beam_search_bs10.json_9,original/iterative_beam_search_bs5_ibs10.json_2,clustered/random_sampling_temp1.0.json_0,80,"it's happened at last, we've become a limited company.",it's been a long time,we're not going to have any trouble,we've got no place to hide,we can't afford to lose it,i don't care what you say,clustered/clustering_beam_search_bs100_cbs5.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_4,clustered/random_sampling_temp1.0_top100.json_0,clustered/random_sampling_temp0.5.json_3,clustered/random_sampling_temp0.7.json_1,84,you watch this garbage?,i can't believe it!,i've never seen anything like this before in my life,i know you're using it,i'm not even sure i know it,guinea squid shine down before it goes off,clustered/clustering_beam_search_bs100_cbs5.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_3,clustered/random_sampling_temp1.0.json_0,original/random_sampling_temp0.5.json_0,original/random_sampling_temp1.0.json_4,41,poor father...,oh you should. e got an.,i'll be back in a minute,i'll tell you what,i'll take care of it ma'a m and make sure nobody knows where to find me or anything else you're gonna need,you're a very lucky man,original/random_sampling_temp0.7.json_7,original/clustering_beam_search_bs10_cbs5.json_5,clustered/standard_beam_search_bs100.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_0,original/random_sampling_temp0.5.json_5,36,fine speech. now what do we do?,we've got to get out of here before it gets dark,let's get out of here,that is what i think you are,can't we do something?,i don't know what you're saying,clustered/diverse_beam_search_bs100_dbs0.8.json_2,clustered/standard_beam_search_bs100_npad0.3.json_8,clustered/random_sampling_temp1.0.json_0,original/iterative_beam_search_bs5_ibs10.json_9,original/standard_beam_search_bs10_npad0.3.json_8,57
i forgot where i put my keys.,i don't know what to think,i don't know where they are,why the hell would you do that?,what's the matter with you?,ls that what you want?,original/standard_beam_search_bs10_npad0.3.json_4,original/clustering_beam_search_bs10_cbs5.json_4,clustered/random_sampling_temp1.0.json_7,original/random_sampling_temp1.0_top10.json_0,clustered/iterative_beam_search_bs5_ibs100.json_9,71,your ideas never work out.,i don't know what you're saying,i don't know what to do,i don't know what you're talking about,it's a great idea!,i don't know what i'm doing,original/beam_search_bs10_kpercand3.json_9,original/standard_beam_search_bs10.json_2,clustered/beam_search_bs100_kpercand3.json_4,clustered/random_sampling_temp0.7.json_7,original/beam_search_bs10_kpercand3.json_7,54,how far have you gotten?,we're in the middle of nowhere,i've been thinking about it,do you have a??,it's a long way out,i don't see any difference,clustered/random_sampling_temp1.0_top100.json_9,clustered/standard_beam_search_bs100.json_5,clustered/random_sampling_temp0.7.json_6,clustered/random_sampling_temp0.7.json_0,original/random_sampling_temp1.0_top10.json_3,15,i hope he fell off.,as a matter of fact i did,i'll tell you what,i don't think he'll be back,i don't know what to do,what kind of food is that?,original/iterative_beam_search_bs5_ibs10.json_9,original/standard_beam_search_bs10_npad0.3.json_2,original/beam_search_bs10_kpercand3.json_9,original/clustering_beam_search_bs10_cbs5.json_2,original/random_sampling_temp1.0_top10.json_7,23,i'm scared shitless.,i don't have any money,don't worry ma'a m,my ashley. is nana killed.,i don't know what to do,ok i'll be right back,clustered/random_sampling_temp1.0_top100.json_1,clustered/random_sampling_temp1.0.json_6,original/random_sampling_temp1.0.json_5,original/iterative_beam_search_bs5_ibs10.json_0,clustered/iterative_beam_search_bs5_ibs100.json_9,37
you watch this garbage?,i don't know what i'm talking about,i've never seen anything like this,what are you talking about?,it's a fucking?!,i've got it!,original/diverse_beam_search_bs10_dbs0.8.json_8,original/standard_beam_search_bs10_npad0.3.json_2,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/random_sampling_temp0.5.json_1,clustered/clustering_beam_search_bs100_cbs5.json_9,41,why are you working today?,i've been waiting for you to come back,i don't know what you're doing,because this is where you came to,i don't know what to do,it's so good to see you,original/beam_search_bs10_kpercand3.json_7,original/clustering_beam_search_bs10_cbs5.json_7,original/random_sampling_temp1.0_top10.json_5,clustered/random_sampling_temp1.0_top100.json_0,clustered/random_sampling_temp0.7.json_9,25,where are you?,i don't know what to do,i'm in the middle of a?,i'm going to the?,what are you doing here?,don't you know that?,original/beam_search_bs10_kpercand3.json_5,clustered/random_sampling_temp0.5.json_8,clustered/random_sampling_temp0.5.json_2,clustered/random_sampling_temp1.0.json_7,original/iterative_beam_search_bs5_ibs10.json_2,12,"why not religion, dad?",i'll tell you what,it would be better if we stayed together,ok i'll tell you,we can't go to the bathroom!,i've been thinking about it,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/random_sampling_temp1.0.json_1,clustered/iterative_beam_search_bs5_ibs100.json_4,original/random_sampling_temp1.0_top10.json_7,original/random_sampling_temp0.5.json_2,8,what's the matter?,don't you like it?,i don't want to talk about it,i just saw you from about half an hour ago,i'll be right back,there's nothing to worry about,original/beam_search_bs10_kpercand3.json_1,original/standard_beam_search_bs10_npad0.3.json_3,original/random_sampling_temp1.0.json_1,clustered/beam_search_bs100_kpercand3.json_1,clustered/standard_beam_search_bs100_npad0.3.json_2,6
"it's happened at last, we've become a limited company.",they're all different now,it's a bit crowded for company,you're not the only one who's responsible,i don't know what you're talking about,camera. today even guaranteed a expensive medical penalty,clustered/random_sampling_temp0.7.json_9,clustered/random_sampling_temp0.7.json_8,original/random_sampling_temp0.7.json_6,clustered/clustering_beam_search_bs100_cbs5.json_0,original/random_sampling_temp1.0.json_7,84,i almost thought for a second...,i don't know what you're talking about,i... e been thinking about it,would the cobra a little supper for us?,why didn't you tell me?,i don't know what to say,clustered/standard_beam_search_bs100.json_2,clustered/standard_beam_search_bs100_npad0.3.json_3,original/random_sampling_temp1.0.json_0,clustered/clustering_beam_search_bs100_cbs5.json_4,original/random_sampling_temp0.7.json_8,78,now i think we really do understand one another.,i don't know what you're talking about!,i don't know what to do,and i think we have a problem with the.,i think you should go now,i'll tell you what,original/standard_beam_search_bs10_npad0.3.json_4,original/standard_beam_search_bs10.json_3,original/random_sampling_temp0.5.json_3,clustered/random_sampling_temp0.5.json_4,clustered/standard_beam_search_bs100.json_8,64,looking for intelligent life?,i've never seen anything like it,i've never seen any of this,i can't believe it!,i don't know what you mean,there's no excuse for what kind of action it is,clustered/random_sampling_temp1.0_top100.json_1,clustered/random_sampling_temp1.0.json_8,clustered/random_sampling_temp0.7.json_1,original/beam_search_bs10_kpercand3.json_3,original/random_sampling_temp1.0.json_0,26,"bravo, your majesty!",i'll see you later,i'll be back in a few minutes!,i won't let you go!,in this snug house of gypsies blondie!,i'll take care of it myself ma'a m but you won't,clustered/standard_beam_search_bs100_npad0.3.json_4,original/diverse_beam_search_bs10_dbs0.8.json_7,clustered/standard_beam_search_bs100.json_6,original/random_sampling_temp1.0.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_2,2
too many people know about my involvement in this.,i'll be right back,you think i wouldn't have to kill you?,what are you talking about?,i don't know what i'm gonna do,luther collapsed at 12 00 sharp,clustered/random_sampling_temp0.5.json_5,original/random_sampling_temp0.7.json_1,clustered/standard_beam_search_bs100.json_7,original/clustering_beam_search_bs10_cbs5.json_5,original/random_sampling_temp1.0.json_4,96,"sorry, am i interrupting?",i don't know what to do,i have to go to the bathroom,i've been waiting for you,i'm just trying to help,i've been looking for you all day,original/standard_beam_search_bs10_npad0.3.json_3,clustered/random_sampling_temp0.7.json_4,original/clustering_beam_search_bs10_cbs5.json_1,clustered/beam_search_bs100_kpercand3.json_9,original/standard_beam_search_bs10.json_9,46,you okay?,you're gonna be okay,i'll be back in a minute,you're gonna be fine,that's why i'm here,i'll be right back,clustered/clustering_beam_search_bs100_cbs5.json_1,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/random_sampling_temp0.5.json_6,clustered/standard_beam_search_bs100.json_3,original/standard_beam_search_bs10.json_0,29,what are you looking to read?,i've been looking for you,i've been looking for you,i've already heard that,i don't want to know,i don't know what to say,clustered/standard_beam_search_bs100.json_3,clustered/beam_search_bs100_kpercand3.json_1,original/random_sampling_temp1.0_top10.json_3,clustered/clustering_beam_search_bs100_cbs5.json_5,original/beam_search_bs10_kpercand3.json_5,95,he wants the money.,he's not a bad guy,i can't do this!,i don't know what to do,he said it's going to be a big show tonight,what are you talking about?,original/random_sampling_temp0.5.json_4,clustered/random_sampling_temp0.5.json_4,original/beam_search_bs10_kpercand3.json_5,original/random_sampling_temp1.0_top10.json_4,clustered/beam_search_bs100_kpercand3.json_1,17
its muscles are locked.,i've got to get out of here and make sure,its what like a lifeless.?,you're not going to die,what are you doing here?,you've been drinking!,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/random_sampling_temp1.0.json_1,clustered/random_sampling_temp0.5.json_6,clustered/beam_search_bs100_kpercand3.json_9,original/random_sampling_temp1.0_top10.json_5,43,tell me your name.,you won't be able to do that,you're such a mercenary,i don't want to hear it,you're a private?,i'll tell you what i know,original/random_sampling_temp0.5.json_6,clustered/random_sampling_temp1.0.json_9,original/standard_beam_search_bs10_npad0.3.json_5,original/random_sampling_temp0.5.json_9,original/standard_beam_search_bs10_npad0.3.json_8,19,are you frightened?,what's the matter with you?,i'm just a??,i don't know what to say,i don't know what to say,i'll be right back,clustered/standard_beam_search_bs100_npad0.3.json_9,clustered/random_sampling_temp1.0_top100.json_2,original/beam_search_bs10_kpercand3.json_1,original/clustering_beam_search_bs10_cbs5.json_1,clustered/standard_beam_search_bs100.json_2,22,he certainly was not a popular fellow when they planted him.,you know what i mean?,this is the only place he's been talking about,he was on the way to.,i've never seen him before in my life but he still hasn't been able to find out,but it was a miracle that he was a man of his son,clustered/iterative_beam_search_bs5_ibs100.json_0,clustered/random_sampling_temp0.7.json_4,clustered/random_sampling_temp0.7.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/random_sampling_temp0.7.json_3,74,i might do it wrong.,what's wrong with me?,i didn't touch it did it?,i don't think you do,what do you think of that?,i've never seen anything like it,clustered/random_sampling_temp1.0_top100.json_8,original/random_sampling_temp1.0.json_8,clustered/random_sampling_temp1.0.json_6,original/clustering_beam_search_bs10_cbs5.json_3,original/diverse_beam_search_bs10_dbs0.8.json_2,28
good luck.,it's been a long time,i'll take care of it myself,i'll see you later,are you sure about that?,i'll be right there,clustered/clustering_beam_search_bs100_cbs5.json_6,original/diverse_beam_search_bs10_dbs0.8.json_7,clustered/standard_beam_search_bs100_npad0.3.json_2,original/iterative_beam_search_bs5_ibs10.json_6,original/diverse_beam_search_bs10_dbs0.8.json_2,31,you going to answer it?,what are you talking about?,look here this is the little factory,i don't know what i'm talking about,i don't want to talk about it,i don't know what to say,clustered/random_sampling_temp0.5.json_8,original/random_sampling_temp1.0.json_9,original/clustering_beam_search_bs10_cbs5.json_6,original/clustering_beam_search_bs10_cbs5.json_3,clustered/standard_beam_search_bs100_npad0.3.json_2,51,there are cables overhead. hang on. it'll clear up.,throwing slater in a coma will be shot to death with a small family school,i don't know what you're talking about,all for whatever happens if one of our despises gets in the back of the court that's going to save that nice member of yours,we're going to have a little trouble here,i don't know what you're talking about,original/random_sampling_temp1.0.json_5,clustered/clustering_beam_search_bs100_cbs5.json_2,original/random_sampling_temp1.0.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_5,clustered/random_sampling_temp0.5.json_1,88,maybe you inspire me.,what are you doing here?,i don't know what you're saying,i don't know what to say,is that what you want?,don't play with me!,clustered/beam_search_bs100_kpercand3.json_9,original/standard_beam_search_bs10.json_9,clustered/standard_beam_search_bs100.json_9,original/iterative_beam_search_bs5_ibs10.json_8,clustered/random_sampling_temp0.7.json_8,27,it bit you.,i don't know what i'm doing,i've never seen anything like it before,you're not gonna believe this,you don't have to worry,i convinced you not to disturb your enemy,original/standard_beam_search_bs10.json_7,original/diverse_beam_search_bs10_dbs0.8.json_9,original/random_sampling_temp0.5.json_7,clustered/standard_beam_search_bs100.json_7,original/random_sampling_temp1.0.json_5,44
bring down the money or your friend's dead!,i'll kill him!,what's the matter with you?,i'll take care of it,too bad you're not dead,i'm not gonna hurt you!,original/random_sampling_temp0.5.json_9,clustered/clustering_beam_search_bs100_cbs5.json_4,original/standard_beam_search_bs10_npad0.3.json_2,clustered/iterative_beam_search_bs5_ibs100.json_6,original/random_sampling_temp0.5.json_4,92,how did it go today?,i've been doing something i don't think so,i want to talk to my son about jerome?,i'll tell you what,i don't know what you're talking about,i don't know what you're talking about,original/random_sampling_temp0.7.json_7,original/random_sampling_temp1.0.json_9,clustered/beam_search_bs100_kpercand3.json_5,original/clustering_beam_search_bs10_cbs5.json_4,original/diverse_beam_search_bs10_dbs0.8.json_2,53,i'm really not that hungry.,you are not gonna let me go,i don't know what to do,i don't want to eat,i'll be right back,no i don't think so,original/random_sampling_temp0.7.json_1,original/standard_beam_search_bs10_npad0.3.json_2,original/beam_search_bs10_kpercand3.json_4,clustered/standard_beam_search_bs100_npad0.3.json_3,clustered/beam_search_bs100_kpercand3.json_6,94,what did you just say?,i don't know what you mean,i didn't do anything!,i don't know what you're talkin about,what are you doing here?,i don't know what you mean,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/random_sampling_temp0.7.json_7,original/standard_beam_search_bs10.json_8,clustered/beam_search_bs100_kpercand3.json_6,original/standard_beam_search_bs10_npad0.3.json_5,18,when do we go?,well i'll tell you,we're going to have the first time,well there's a little train,i'll be back in a few minutes,we'll do everything we can,original/random_sampling_temp0.5.json_1,original/random_sampling_temp1.0.json_0,original/random_sampling_temp0.7.json_9,original/standard_beam_search_bs10_npad0.3.json_6,original/random_sampling_temp1.0_top10.json_4,32
does he have the marked bills on him?,he still leads us right back our way,he might not know my id,i'll tell you what,what would have done with me?,i don't know what he's talking about,clustered/random_sampling_temp1.0.json_5,original/random_sampling_temp1.0.json_9,original/beam_search_bs10_kpercand3.json_1,clustered/random_sampling_temp1.0.json_9,original/standard_beam_search_bs10_npad0.3.json_5,69,yes... ..we do ask for... .30 to 60 days....,okay i'll take care of it,why are you doing this!,let's try it again so it's a good job,i don't know what you're doing,what are you going to do?,clustered/iterative_beam_search_bs5_ibs100.json_1,clustered/random_sampling_temp1.0.json_6,original/random_sampling_temp0.7.json_8,original/clustering_beam_search_bs10_cbs5.json_8,clustered/standard_beam_search_bs100_npad0.3.json_6,77,ssh. i'm on a stakeout.,i passed them in and he said the rice were wrong,i don't know what you're talking about,i don't know what's going on,i don't know what you're talking about,i don't know what to do,original/random_sampling_temp1.0.json_4,original/standard_beam_search_bs10.json_0,original/standard_beam_search_bs10_npad0.3.json_6,original/diverse_beam_search_bs10_dbs0.8.json_1,original/clustering_beam_search_bs10_cbs5.json_1,67,the bourbon. the news about ugarte upset me very much.,then martin. questions from the mayor's office,you don't have to explain,can i talk to you for a second?,everything's going to be fine,this is my uncles the.,original/random_sampling_temp1.0.json_0,original/random_sampling_temp1.0_top10.json_3,clustered/random_sampling_temp0.5.json_5,clustered/iterative_beam_search_bs5_ibs100.json_2,clustered/random_sampling_temp1.0.json_1,60,chief - mind if i take her?,i'll take care of her,i'll be right back,she'll be all right,i've got a lot to say,i'll take care of it myself,clustered/diverse_beam_search_bs100_dbs0.8.json_7,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/beam_search_bs100_kpercand3.json_8,clustered/random_sampling_temp1.0_top100.json_4,original/standard_beam_search_bs10.json_9,55
"when you get going on those broads, think of me!",i'm not going to hurt you,i don't care what you think,i've got to get out!,have you ever heard of!?,i don't care what you think!,clustered/beam_search_bs100_kpercand3.json_5,original/standard_beam_search_bs10_npad0.3.json_6,clustered/random_sampling_temp0.7.json_6,original/iterative_beam_search_bs5_ibs10.json_9,original/standard_beam_search_bs10_npad0.3.json_7,81,where's ma?,we're looking for someone to come here to see us,i'll be right back ma'a m a few minutes ago you didn't have to,would you like a drink?,i don't know what you're talking about,can't you see that?,original/random_sampling_temp0.7.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/iterative_beam_search_bs5_ibs100.json_4,original/diverse_beam_search_bs10_dbs0.8.json_1,original/iterative_beam_search_bs5_ibs10.json_3,1,"c'mon, i need to talk to you. just the two of us.",you're not the only one,i don't want to hear it,what are you talking about?,we'll talk about this later,what are you doing here?,clustered/random_sampling_temp0.5.json_6,original/random_sampling_temp1.0_top10.json_9,clustered/random_sampling_temp1.0_top100.json_8,original/random_sampling_temp1.0_top10.json_0,clustered/clustering_beam_search_bs100_cbs5.json_7,82,i just want the job.,i'll be back in a minute,i'll be back in a few minutes,i'll get the job,you feel the way you want this job,i'll take care of it,original/clustering_beam_search_bs10_cbs5.json_3,original/standard_beam_search_bs10_npad0.3.json_7,original/random_sampling_temp0.7.json_4,original/random_sampling_temp1.0.json_8,clustered/random_sampling_temp0.5.json_2,11,he said we're all going to have to go talk to the guy.,you know what he says?,you don't have to go,i don't know what you're saying,i don't like to be rude,i'll tell you one thing,clustered/random_sampling_temp1.0_top100.json_7,original/random_sampling_temp1.0_top10.json_3,original/standard_beam_search_bs10_npad0.3.json_6,original/random_sampling_temp0.5.json_9,clustered/random_sampling_temp1.0_top100.json_3,99
i told you the facts! he abandoned us -- those are the facts.,thank you very much mr.,they are the. of our society,i don't know what to say,what's the matter with you?,i don't know what i'm talking about,clustered/iterative_beam_search_bs5_ibs100.json_5,clustered/random_sampling_temp1.0_top100.json_2,clustered/random_sampling_temp0.5.json_6,clustered/beam_search_bs100_kpercand3.json_9,original/clustering_beam_search_bs10_cbs5.json_6,97,he was... taken.,that's not what i'm saying,would you like a drink?,i've seen the all of you,i don't know what you're talking about!,i've never seen him before,original/standard_beam_search_bs10_npad0.3.json_4,clustered/iterative_beam_search_bs5_ibs100.json_4,original/random_sampling_temp0.5.json_6,original/diverse_beam_search_bs10_dbs0.8.json_4,clustered/standard_beam_search_bs100.json_2,24,don't you think you should at least wave?,what's going on here?,i think it's a good idea,i don't know what you mean,i don't know what i'm talking about,i don't see any?,clustered/standard_beam_search_bs100_npad0.3.json_9,clustered/beam_search_bs100_kpercand3.json_8,clustered/beam_search_bs100_kpercand3.json_7,original/diverse_beam_search_bs10_dbs0.8.json_5,original/random_sampling_temp0.5.json_9,66,why would he go to odessa?,you know what he is?,did he say anything to you?,why do you say that?,why are it here mr??,he'll be all right,clustered/random_sampling_temp1.0.json_0,original/iterative_beam_search_bs5_ibs10.json_4,original/random_sampling_temp0.7.json_3,clustered/random_sampling_temp1.0.json_3,clustered/standard_beam_search_bs100.json_6,75,where the hell is he?,was he in the hospital?,the one with the??,he's in the hospital!,take a look at this!,i don't know what he's doing,clustered/iterative_beam_search_bs5_ibs100.json_5,original/random_sampling_temp0.7.json_7,clustered/beam_search_bs100_kpercand3.json_3,clustered/iterative_beam_search_bs5_ibs100.json_8,original/standard_beam_search_bs10.json_4,5
"ready to roll, partner?",i don't know what you're doing,i don't know what you're talkin about,i was hoping you'd come with me,a lot of people in here have had to be around to work on them before a year,i'll be right back,original/clustering_beam_search_bs10_cbs5.json_9,original/standard_beam_search_bs10_npad0.3.json_4,clustered/random_sampling_temp1.0_top100.json_0,original/random_sampling_temp0.7.json_6,original/clustering_beam_search_bs10_cbs5.json_1,50,did you call?,what are you doing here?,i'll speak to you later,you're not supposed to be here,the last time i heard this story was about the guy,i don't know what you mean,clustered/standard_beam_search_bs100.json_9,clustered/random_sampling_temp1.0.json_4,clustered/standard_beam_search_bs100_npad0.3.json_6,original/random_sampling_temp1.0_top10.json_3,original/standard_beam_search_bs10.json_6,13,are you sure you even packed it?,i'll take care of it,i'll be right back,i've never seen it,did you buy anything from me?,what are you talking about?,clustered/standard_beam_search_bs100.json_9,original/standard_beam_search_bs10_npad0.3.json_0,original/standard_beam_search_bs10_npad0.3.json_3,clustered/random_sampling_temp1.0.json_7,clustered/standard_beam_search_bs100.json_4,58,poor father...,i'll take care of it myself,i've never seen anything like this before,i don't know what to do,would you like a drink?,what's the matter with you?,original/standard_beam_search_bs10.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_7,original/beam_search_bs10_kpercand3.json_2,original/iterative_beam_search_bs5_ibs10.json_9,clustered/beam_search_bs100_kpercand3.json_5,36,i'm supposed to speak at their tenth anniversary.,i'll be right back,i don't know what to do,so i'm gonna throw you out,the. is not so good that you don't call the archives,i'll be back in a few minutes,original/diverse_beam_search_bs10_dbs0.8.json_0,original/beam_search_bs10_kpercand3.json_2,original/random_sampling_temp0.7.json_0,original/random_sampling_temp0.7.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_4,80
are you nervous?,what are you doing here?,i've been thinking about it,i've been thinking about it,what are you doing here?,what do you want me to do?,clustered/random_sampling_temp0.7.json_2,clustered/standard_beam_search_bs100_npad0.3.json_3,original/beam_search_bs10_kpercand3.json_6,original/clustering_beam_search_bs10_cbs5.json_0,clustered/standard_beam_search_bs100.json_8,21,why the hell are we wasting time here?!,i'll take care of it!,i'm out of here!,what do you think you're doing?,you've got to trust me!,we're not going to be late,original/random_sampling_temp1.0_top10.json_3,clustered/random_sampling_temp0.5.json_6,clustered/standard_beam_search_bs100_npad0.3.json_2,original/random_sampling_temp0.7.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_7,93,that's coming along well!,i don't know what to do,i'll be right back!,you're not going anywhere,i don't know what to say,i'll be right back,original/beam_search_bs10_kpercand3.json_7,original/standard_beam_search_bs10.json_2,clustered/standard_beam_search_bs100.json_8,clustered/clustering_beam_search_bs100_cbs5.json_8,original/standard_beam_search_bs10.json_0,35,shall we unpack it?,i'll see you at the hotel,well i suppose it's intolerable,can't i get him?,i can't believe it!,no i don't want to,original/standard_beam_search_bs10_npad0.3.json_9,original/random_sampling_temp1.0.json_9,clustered/random_sampling_temp1.0.json_4,clustered/random_sampling_temp1.0_top100.json_3,original/clustering_beam_search_bs10_cbs5.json_4,49,what's he get if he wins here?,let's get out of here,i'll tell you what,i'll tell you what's wrong with the way things aren't,lt? l be all right,it's like a game game,clustered/clustering_beam_search_bs100_cbs5.json_3,original/standard_beam_search_bs10_npad0.3.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/iterative_beam_search_bs5_ibs100.json_2,clustered/random_sampling_temp0.7.json_6,79
i've lost interest.,that's for me to tell you,i'll be back soon,i've never seen anything like it,we just can't live together,i don't know what to say,clustered/random_sampling_temp1.0.json_0,clustered/random_sampling_temp0.5.json_3,original/beam_search_bs10_kpercand3.json_4,original/random_sampling_temp1.0.json_0,clustered/beam_search_bs100_kpercand3.json_0,47,"honey, we can be happy and poor together.",i don't know what to do,i'll take care of it,we're going to have a baby,i don't know what to say,i don't know what you're saying,original/standard_beam_search_bs10_npad0.3.json_2,clustered/standard_beam_search_bs100_npad0.3.json_0,original/standard_beam_search_bs10.json_7,clustered/clustering_beam_search_bs100_cbs5.json_2,original/standard_beam_search_bs10_npad0.3.json_9,86,what happened to your pants?,i've never seen anything like it so many times before my mother died a few days ago in new york and the next day he told me to stay away from her,what are you doing here?,why did you do that?,what are you talking about?,what's wrong with you?,clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/beam_search_bs100_kpercand3.json_8,clustered/beam_search_bs100_kpercand3.json_5,original/standard_beam_search_bs10.json_1,original/diverse_beam_search_bs10_dbs0.8.json_0,10,i'd love to drive through new england in the fall.,i'd love to but i've got to go,i've never seen anything like it,it's such a beautiful day,i don't think i can,i think i'd better go,original/clustering_beam_search_bs10_cbs5.json_8,clustered/beam_search_bs100_kpercand3.json_5,clustered/random_sampling_temp0.7.json_5,clustered/standard_beam_search_bs100_npad0.3.json_6,clustered/standard_beam_search_bs100_npad0.3.json_0,73,your men knew the risks.,you've got to be kidding,you're a good man,i'll tell you what,i've had enough of you,that's why i'm here,original/standard_beam_search_bs10.json_6,clustered/beam_search_bs100_kpercand3.json_4,clustered/standard_beam_search_bs100_npad0.3.json_5,clustered/random_sampling_temp1.0_top100.json_3,clustered/random_sampling_temp0.7.json_8,3
