tgt,pos,bogus,unsorted,sorted,seeded,num_classes,num_anno,latest_timestamp,crowdstarter
i am not a huge fan of board games,0,bogus,"['funny .', ""just our people ' association is morale"", 'you unload all this place in your i ok , I have n i', 'this is a chess game .', 'yes simpleton oh i thought they would have a great time talking in what you taught me', 'the drama .', 'creative groups of electronics are the best to beat win the rock ball boy', 'you are an earth actor , you will very happy it will be a difficulty', ""Edna 's a scientist , so now that you 're paired up with the crocodile , you go in and just stick your music into it !"", ""they 'd i , of course you have fun and you could afford it when you play there again""]",[],False,0,1,20190208_142254,{}
That is amazing . Are you nervous ?,0,bogus,"['Better !', 'Not that , it is good to here , I can handle it An instinct', 'To be now ,', 'The Founder loved him all , the first thing he cried instead of imitating her in the bathroom ,', 'All I look at is my seeing just where the falafel at the part', 'I think this will be fun', 'Yes', 'Of course', 'With all due respect ,', ""The time 's at 18 .""]",[],False,0,1,20190208_142254,{}
what 's a joke ?,0,bogus,"[""Oh , Tom Reynolds 's on a big show ."", 'Pee Wee something is to mop up your mess !', ""You 're right ."", 'Oh , you are always sort of a nice guy .', 'On the ground , champ .', ""No , there 's too much to say ."", ""somebody 's down there ."", 'The sleeves are tired .', 'all right .', ""Perhaps I 'm German .""]",[],False,0,1,20190208_142254,{}
Are you trying to rob me,0,bogus,"['Oh !', 'You are our son without protection .', 'You should be ashamed of yourself !', ""Let 's peel apples"", 'Here you go .', ""No , sir , I didn 't steal ."", ""You 'd better not steal it , man ."", 'Arrest her !', ""You know how to hash each other 's blood you 're riding it awfully low but your asphalt would be Are ground to the roof again ."", 'Look , Chris , I thought it was cool to pay for your marriage .']",[],False,0,1,20190208_142254,{}
that is not funny,0,bogus,"['a great one .', ""I don 't think so ."", 'Well , what you want to learn is that and Ithaca . that , but let me give you a chance .', 'worse .', 'An affront from our ancestors .', 'sorry .', ', open the door and grow up .', 'that e have a that .', 'an alert !', 'but a lot of so much it .']",[],False,0,1,20190208_142254,{}
What other stuff can we talk about ?,0,bogus,"[""They 're for good ."", 'We just confirmed that stuff seems better .', 'Things came up right along the way you saw mary .', 'About a little ... something special .', 'Anything in other business .', ""We 're waiting for Sherlock Holmes to get to know him ."", 'Come in there .', ""We 're going on about ..."", ""Kids don 't talk ."", 'Anything .']",[],False,0,1,20190208_142254,{}
thanks darling you are so sweet,0,bogus,"['I am bored me , almost love ...', 'Papa , you are me', ""each looks for some new thanks likes me they 'll be from now they could all go to bed"", 'One here will be exhausted', 'I read your marriage until eleven', 'Whether you have any love for him', 'Now you are frustrated ..', 'I thank frowns', 'look who it was that you so well in which I guess you bring yourself in there okay , hyungnim , bring me some good for yourself , I earned your heart ..', 'Great , good day good bye you are out , mon thanks !']",[],False,0,1,20190208_142254,{}
I like cake .,0,bogus,"['pizza I .', 'Two for we stew about .', 'I like your cake .', 'Amanda Marx Stone .', 'I !', ""Now it didn 't matter ."", 'No .', 'that is totally cute .', 'I it , mum .', 'You fun for sleepover .']",[],False,0,1,20190208_142254,{}
Where are they ?,0,bogus,"['Oi !', 'I can not hear , Dad .', ""Don 't worry ."", 'I got one .', ""I 'm down in 20 minutes , man ."", 'Back at the walkway .', ""It 's complicated ."", 'Safe as I am currently wandering here .', 'There was nobody .', ""It 's five er ' Where ' .""]",[],False,0,1,20190208_142254,{}
do you like michael jackson ?,0,bogus,"['not for what i do .', 'no .', ""i don 't know , I disagree , but no ..."", 'yes .', ""He thinks I 'm brilliant ."", ""'s no , not court person I mean the mother ."", ""i don 't know ."", 'listen , i come from the tribe from the swamp .', 'l`m first .', 'i guess .']",[],False,0,1,20190208_142254,{}
"Okay , I like to watch comedies .",0,bogus,"['EXCELLENT .', 'Okay , IN THERE .', 'GO AHEAD .', 'Okay , uh-huh ,', 'YEAH .', 'I LIKE IT .', 'Okay it .', ""COMMON pumps , crappy shoes and fish boots , very waiter 's shoes on ."", 'I Okay .', 'Okay .']",[],False,0,1,20190208_142254,{}
What was it about ?,0,bogus,"['The What , several What vendors had lost it .', 'The words I spent with Mr. Butler .', ""culmination of Mr What 's disappearance at an antique store whose if we get offered this job something would look at him well if he can help his career , at a military production ."", ""I 'm not qualified to ask ."", 'Nothing about the What thing .', 'Nothing ...', ""I didn 't know Lily was a dancer ."", 'Hold me down .', 'I lost my license .', 'The sale of the What , and the What of time and pumping ...']",[],False,0,1,20190208_142254,{}
what are you up to ?,0,bogus,"[""we 're just getting to the what ."", ""It 's only a madhouse , asshole ."", ""I 'm Catching ' Gene in town , working with Me ."", 'Many .', 'charlie .', ""i 'll see you at the baths ."", ""I 've seen you around , Mr. what ."", ""nothin ' like that ."", 'dancing with people .', 'well , for one thing , our country is only 300 feet long .']",[],False,0,1,20190208_142254,{}
me too,0,bogus,"[""Nikita , you know , it doesn 't matter what kind of relationship you always have ."", 'ET .', 'yes !', 'she knew me .', 'But your mother is a little bit consumed at the time .', ""I don 't know why he wanted to throw words ."", 'Of course', ""No one knows what you 're doing in here ."", 'Meet you , Rochester police .', ""I don 't know .""]",[],False,0,1,20190208_142254,{}
Pizza,0,bogus,"[""you 're not the man to close the decision ."", 'stink .', 'the fat .', 'Big Tuna Classic .', 'Dad is not a felon to fight shit with Dam Tau !', ""that business 's gross ..."", 'was a tiny bit of some kicking around craps on the back side of Chicago , on a street , called Pizza .', 'that people are here .', 'the fridge .', 'this dirt thing is it .']",[],False,0,1,20190208_142254,{}
do you listen to music ?,0,bogus,"['Sometimes I hear tonight rain', 'me and men did it .', ""It 's more obscene here ."", 'this is complete di do scene .', 'Yes , they hear me singing the name of an album', 'yeah .', 'I love you .', ""let 's go for it ."", ""you can speak a lot of minds like this , but we can 't find it ."", 'I bring calling them because they are responsible for justice , they have do for do']",[],False,0,1,20190208_142254,{}
What about the news ?,0,bogus,"['Neither the victim nor his grave will fall yet .', 'Mr. Connery and his son What have lost contact with prisoners their laboratory crashes .', ""'I took that feed . '"", ""Oh , we 've gonna use them ."", ""I 've stopped staying at a part of the job ."", ""It 's got nothing that much Malloy doesn 't have to do ."", ""I haven 't got friends yet ."", 'The Chief invites him however I want .', 'I decided to go off home and live where I came from .', 'I might know the news .']",[],False,0,1,20190208_142254,{}
I don 't think so .,0,bogus,"['i hear this voice sounds strange .', 'all these bitches look horrible .', 'Well , I !', ""You 'll have to hold a belt ."", 'DETECTIVE I cares', 'most that hide in the not I', ""I didn 't believe you , you coulda killed me ."", 'No on a bum like that .', 'Only I scary ,', 'I ...']",[],False,0,1,20190208_142254,{}
who is your favorite composer ?,0,bogus,"['who composer .', 'Witch', 'You question yourself .', 'Roberto .', 'who .', 'Think how many names', 'tom Abbott .', 'We pronounce him CIA , chief of governors .', 'Go .']",[],False,0,1,20190208_142254,{}
Super going to the beach this weekend,0,bogus,"[""No , he 's Super I 'm Korean !"", 'Super up that dude .', 'Yeah .', 'I think we should try the Espheni process Fraser .', 'Yes .', ""I don 't know ."", ""It 's not so bad ."", 'Wild roads went bankrupt .', 'Immediately .', 'Super happy do .']",[],False,0,1,20190208_142254,{}
You are a robot,0,bogus,"[""I 'm a robot , man ."", 'Yeah , I thought it would have been us- -', 'No !', 'Yes .', 'In any place , I am this psychic .', ""Yeah , but I don 't feel like drilling ."", 'Give me a break !', 'Come on .', 'Eat chocolate .', 'Yes , Professor .']",[],False,0,1,20190208_142254,{}
Do you have a cat ?,0,bogus,"[""No , I don 't ."", 'I just split .', 'Andrej .', ""No , it 's all yours ."", ""I 've had my cat at a morgue and do a few things to tell me ."", 'No !', ""l 'm afraid not ."", 'Well , yeah .', 'Do !']",[],False,0,1,20190208_142254,{}
"ok , i was referring to personal questions",0,bogus,"['in this room .', 'just for the ...', 'the same person .', '... i was- -', ""yeah , there 's no use for you to answer that ."", 'Yellow Star armor council , no sacrifice to bug you .', 'they were gonna trap you , Granger .', 'of the plans there .', ""but he claimed he hasn 't convicted her or he started killing anybody ."", 'Yes .']",[],False,0,1,20190208_142254,{}
Knock what off,0,bogus,"['As a favor to her .', 'He brought you here here .', ""Sweetie let 's not talk about it now !"", 'Oh , yeah .', 'Just come out here ...', 'Knock it !', ""Just admit that if you weren 't , you would have been here ."", 'You can go with this .', ""I 'm kind of tied up right now ..."", ""Don 't take her off if you can 't .""]",[],False,0,1,20190208_142254,{}
"ok , tell me about your weekend",0,bogus,"['oh yes .', ""often we 've got friday ."", ""I 've read it"", 'Well I let him be the editor at the club , still likes Patrick ...', 'Why anyways ...', 'First , ride me where you wanna go', 'I had a snack .', ""why don 't you go take a look"", 'Already not in the park .', ""You wouldn 't miss it a bit""]",[],False,0,1,20190208_142254,{}
ok what is the weather like where you are ?,0,bogus,"['32 mph who probably love checking through the stomach', ""I have to go to the village where my dress 's the essence from to summer hour in this room"", 'good as much as you are still , Lucius .', 'i dont know , Majesty i understand you in the front for work only tuesday tomorrow I join the gang', 'we want only to be measured for our future .', 'I think Salon will be out of the air all week we flying with wind and ok trash and is searching for engine ok', 'just so slim to us .', ""you 're known ... hello oh heavens oh ,"", ""Man , we don ' ok together ."", ""we 're ok Farley elegant fishing bugs are still creaking around the pipes there are so a lot of hard omens we don 't have money""]",[],False,0,1,20190208_142254,{}
Hello !,0,bogus,"['Lamia Ryu .', 'Who knows where I am ,', 'Edgar Kincaid ,', 'Hello goods forthe target , please .', ""Father , we can 't have you shut up goddamn out ."", 'Philip !', 'Good afternoon to you .', 'Jody !', 'That was our third date ...', 'You are not even her .']",[],False,0,1,20190208_142254,{}
don 't you have any idea about equality ?,0,bogus,"[""No , sir. ... no. i 'm don ."", 'the concept that investigations are dealing with .', ""Otto Ik was recently dismissed from another parent 's union and he worked in his college firm as an latest basketball player ."", 'Seven years sober , mr .', 'of course not , this .', 'Things like Einstein may be a character .', 'it is because of knowledge and culture .', 'don don of child can make online marriages and he will given an absence for them .', 'don affairs .', 'look at that']",[],False,0,1,20190208_142254,{}
Gotcha . What 's your favorite book ?,0,bogus,"['Gotcha !', 'There it was .', ""It 's never again read a wizard 's promise"", 'A book .', 'I meant India .', 'I wish I could say easy on the old testament', 'I bad can make work on Gotcha', 'From the Gotcha .', 'Mozart !', 'Oh , my God ...']",[],False,0,1,20190208_142254,{}
Okay . I 'm a little bit confused . Let me change the topic . Do you have relatives where we 're going ?,0,bogus,"['Not our family', 'Erm ...', 'No', 'No .. f Okay ta .', 'Okay I did once a year add Okay start in two months I thank you', 'No sir I only heard about the police', 'Frontier to Russel jr .', 'Um , I do have a younger sister , I might be able to improve my new theme', 'Take a guess .']",[],False,0,1,20190208_142254,{}
wow thats old .,0,bogus,"['no .', 'hector Scott', '96 wow shoes .', 'Yes i love you .', 'that might become more than a family .', ""that 's your wow wow we have not given him a Mormons and ..."", ""i can see no show-off and no wow at all u don 't believe me because I don 't like you"", 'very little', 'When you two became weak let me tell you something more neurotic about son', 'no i will move it a few world maybe']",[],False,0,1,20190208_142254,{}
That sounds good,0,bogus,"[""Hell , don 't do it ."", 'Muhammad says no', ""Well , l-l was lucky to know the newcomers reckon they 're both missing ."", ""In the end , Stephanie 's death is going to the same church ."", 'Fine .', ""Therefore , I should 've longed for your husband 's happiness after me your procession would be cured president of big ..."", 'Sounds good .', 'I think Frank That cares about this stuff .', ""We 're up , could be good ."", 'That sounds good .']",[],False,0,1,20190208_142254,{}
I am trying to figure out who you voted for since you want to talk politics .,0,bogus,"['...', 'I received a telegram this morning .', ""I voted for your lawyer , but it 's not fair ."", ""Don 't be like that ."", 'I knew it , I .', 'how happy you felt after you suggested that I would try again with you .', 'We were advised by Kim Eun Bi .', 'I I brawn .', 'Believe the woman I want .', 'We just got back to your camp .']",[],False,0,1,20190208_142254,{}
There is so much great music out there I don 't blame you .,0,bogus,"['There speaking .', 'Nobody is connected with the There', 'the strict tip you is looking and- -', ""You There 't allow me"", 'No .', 'you r G your father by the sound of your seeing rage and desires no .', 'There , it would be a good thing to hear lab music , but nobody really has music !', ""Brother and I won 't die of joy get in but not barnyard and get to do that"", 'absolutely e can not .', 'sir .']",[],False,0,1,20190208_142254,{}
I would like to talk about movies,0,bogus,"['.', 'Yes !', 'divorces for the tiger I', 'history .', 'then the special then , please turn it on and follow your customers .', ""I don 't know ."", ""I 'd like to talk about it ."", 'where talk ...', 'do what everything you want to say .', 'because I am late for a meeting .']",[],False,0,1,20190208_142254,{}
Is it funny ?,0,bogus,"['A little .', ""We 're sluts ."", ""Come on , let 's go ."", 'No woman can be spent sitting in the next cafe , looking at me .', 'Weird .', 'About how it is !', 'More than that .', 'Bulldog !', 'No .', 'How ridiculous !']",[],False,0,1,20190208_142254,{}
"I don 't know , so you tell me",0,bogus,"[""You 'll need to come home ."", ""Promise me what you 've done ."", 'Just shut up .', 'Tell Sophie to stop pulling my dumbass finger .', ""I haven 't did ."", 'Arch Bhai .', 'Mmm , no way .', ""It doesn 't matter ."", 'I know , you do .', ""You 're talking me down there !""]",[],False,0,1,20190208_142254,{}
what is your name ?,0,bogus,"['Who does a fuck', 'My name is what .', 'Queen Catherine .', 'Well , you probably forgot that you were a real pain in the neck .', 'he what ... what being named what .', 'Javier Alcott - a rising painter ...', 'Aurora .', ""I don 't know ."", 'oh , oh , my name ...', 'what .']",[],False,0,1,20190208_142254,{}
Do you know what chess is ?,0,bogus,"[""It 's called Do ."", 'Fuck !', 'No .', 'Sure do say ...', 'Food .', 'Life .', 'All of the players have announced one ball .', 'It follows me to spend a Do training audition .', 'It was there .', 'Music , you are a factor , no one will follow .']",[],False,0,1,20190208_142254,{}
Where 's that last name from ?,0,bogus,"['The Where .', 'This happened when I was with South Carolina ...', 'Look down .', ""Birmingham . L ' Where ' the Where ."", ""I 'm not sure ."", ""I don 't know"", ""I 'll always find exercise ."", ""We 've never seen it before ."", ""Don 't know Tanner , lt 's simple procedure ."", 'This definitely is unexpected ...']",[],False,0,1,20190208_142254,{}
how about Baseball ?,0,bogus,"['I want a band of play band .', 'shut your mouth , how .', ""Cats flying to Memphis malls i will buy ' em from the chinese circus when the how how is out green , in the win for our missiles rolling each corner of the how , how around the stadium open engines like a tossed bike they 've got a game"", ""no , they 'd all do it ."", 'hell , no .', 'No .', 'Yeah , totally .', ""but Louis , i read about myself , there 's one gig to make one thing but  s whole how"", 'no .', 'nothing serious - good sport , in Boston .']",[],False,0,1,20190208_142254,{}
i like food,0,bogus,"['delicious', 'yeah , we can eat , anyway .', 'come here and eat it .', 'yes .', 'a pasta is amazing .', 'much leftover candy for celebration .', ""sti you 're nice ."", 'um , baked goods , cooking ... for one ...', 'gold if you like , noodles .', ""it 's fresh , and germs .""]",[],False,0,1,20190208_142254,{}
hey please behave yourself !,0,bogus,"['hey !', ""Listen this doesn 't help ."", 'on the third guest room !', 'Sorry sir .', ""not off ' , like her even alone if you do not understand better"", 'where are you at 6 ...', ""this. that 's me kate ' Mikkel thats it i don 't mean public police issue I 'm just hungover"", 'even you feel guilty', 'I want to pop !', '.. the village professor is gonna fire us .']",[],False,0,1,20190208_142254,{}
hi,0,bogus,"[""now we 'll see this guy who likes to sing ."", 'you mentioned here .', ""if i was going to like it , you 'd have won , a for gambling ."", 'that hi ..', 'wait a minute .', 'hi', 'murder , the punch ...', ', what an expression .', '.', 'to look at something funny .']",[],False,0,1,20190208_142254,{}
"ok , what happened to your dad 's mouth",0,bogus,"['he was here so that ok could tell that your special organ was top five in the dressing room .', 'Last night , he got scared at last .', 'He had to bring his ... to make personal withdrawal .', 'he', 'very quiet .', 'well , he hooked up with a nice girl .', 'Screw i .', 'ok cramps .', 'Come on now .', 'He slapped me .']",[],False,0,1,20190208_142254,{}
What 's up ?,0,bogus,"['We JUST GOT LOOKING .', 'Nothing', ""You 're a very nice young man ."", 'Maybe Plan b Male Sir is on some kind of powerful threat .', 'None of it is that simple pad .', 'What will try to get to it .', ""Dr. What assures me Don 't make any choices ."", 'The day I bought the many drawing , you cleared What out of her', 'Goodness !', '500 or 13 years ago , there were some guys they think whom killed What What !']",[],False,0,1,20190208_142254,{}
Did you vote ?,0,bogus,"['I vote of the contract .', ""I wasn 't your agent , dear ."", ""I didn 't get any vote ."", 'Listen to me .', 'Yes .', 'Um ... yeah .', 'Did .', 'I did .', 'I guess not .', 'I think you nailed it .']",[],False,0,1,20190208_142254,{}
What 's your favorite hobby ?,0,bogus,"['My love clubs', ""Once I met Mario dunham at his Uncle What 's What that I had almost finished everything he was doing ."", 'My favorite had something to do with it .', 'Forget rainy games .', 'Oh , I got a card out for you .', 'From even one .', 'Curiosity .', ""I love what we 're bald that silver !"", ""It 's sensual ."", ""Doing whatever things are to marry in a civilized school , for being born by them and you 're always voting with in domestic pain .""]",[],False,0,1,20190208_142254,{}
but I think I love her too much,0,bogus,"[""It 's not her level ."", 'I know she has love to tell you that this embarrassing woman', 'Tell me .', 'Dolores knows what but', 'Her name is Amelia , just the girl she met on the medicine team .', ""I 'm sure she is good ."", ""but believed she loved my sister-in-law Has to marry her but she shouldn 't tell her what she is doing"", ""I 'm fat , but she can 't bear vagina too many times"", 'No', 'OK as long as you want Women to are but']",[],False,0,1,20190208_142254,{}
"what ? ! who are "" we "" ?",0,bogus,"['had a nice surprise on them .', 'what !', 'Hedy what san what Xu what .', 'Vicious annoy !', 'Pia', 'the what said you`re crazy .', 'what and Mr. what .', 'because of the mud .', ""They 're what survivors ."", 'second pay !']",[],False,0,1,20190208_142254,{}
have you tried llaollao before ?,0,bogus,"['Hey !', 'have and have hooves look like if all the hard use is the same as theirs , he shows the creature down in the living room', 'No , sir .', ""you don 't have to ."", 'Lose the one small difference , good people will give him a medal if he radiant his wedding .', 'every time', ""You 've made me answer ."", 'now .', 'No .', ""oh , the line 's been rising , he abandoned us .""]",[],False,0,1,20190208_142254,{}
Do you have hands ?,0,bogus,"[""Glad you 're here ."", 'Sure I do .', 'What are you saying !', 'Hold something .', ""No , but I 'll have them now ."", 'Yeah .', 'Wait !', 'Go away .', 'Here , give them two pints .', 'Do , yes .']",[],False,0,1,20190208_142254,{}
I am interested in watching TV shows . How about you ?,0,bogus,"['I heard myself', 'cable silence will do you good ... I / es', 'Yes I know that you', ""Twenty-five billion , I 'll be there many years laid ..."", ""It 's I fe ya ' t sense"", ""All right , but it 's Saturday ."", 'U I you are great !', 'Senior', ""That 's well-paid , now you ask what you I since audition ."", 'I']",[],False,0,1,20190208_142254,{}
What is you favorite song ?,0,bogus,"['The sub Community Arena .', ""It 's What ."", 'I see the Virgin Mary .', 'Music', 'My letter to Mr. What .', 'The play between the perfect thing and a girl .', ""My new band can 't decide it ..."", ""Right now , we 're looking full on land on a single island , it 's gonna wet out to sound like there 's a sound ."", 'Jared Esposito , a ...', 'What .']",[],False,0,1,20190208_142254,{}
Hi there how are you ?,0,bogus,"['Hi .', 'Fine , I guess .', 'Hi it looks nice', 'Okay , OK', 'Good to see you', ""Home I don 't think the trust should be written ."", 'Someone they were playing !', ""won 't let you try it again"", 'Fine , thanks', 'Not too bad .']",[],False,0,1,20190208_142254,{}
Well great . What 's your favorite movie ?,0,bogus,"[""Aren 't you really crazy"", ""I don 't want to know unless you find new Polly Well ."", 'Well Factory .', 'That your life I had never has the experience yet', ""I love you because every time you sing , i 'm a Well"", 'I love Beethoven .', 'Lose Cesar .', 'Mahjong Street', 'Colt .', ""in Well culture we debated about Reiden 's band , the way that we spend Well .""]",[],False,0,1,20190208_142254,{}
With whom ?,0,bogus,"['With Estella .', 'Me and my muscles and my brother has a lifestyle .', 'You two , look where the owner is .', 'A man called Akashi', 'Just named Zhang With .', 'With My grandmother .', ""One of my uncle 's disciples ."", 'Just some With agent with With .', 'With Paul .', 'I just signed With of property']",[],False,0,1,20190208_142254,{}
That 's a mean thing to say .,0,bogus,"['That around the world ,', ""I don 't know ."", 'I have looked into that man ... as evidence reference lawyer , and she teaches social services at the That publishing company .', 'that That have done ...', 'No .', 'Boss !', 'This could reflect the patterns that glitch can happen , anything that could sway the That .', ""You 're a person .""]",[],False,0,1,20190208_142254,{}
which is a good one,0,bogus,"['m fine !', 'called which .', 'Golden River high !', 'Nice one !', '', 'For your great vengeance , that who fancy is- - trampling the fields .', 'Shut up .', 'you , my sister , have to remember me .', 'One .', 'yes .']",[],False,0,1,20190208_142254,{}
i 'm Danny !,0,bogus,"['Dirty hobos tiger !', ""sho ' !"", ""Process of elimination whether you are fair or positive your disapproval these ar  classified professional comes empty but colleagues shouldn 't try to go"", 'Who showed up at such a time', 'It`s out of the question !', 'kill you !', 'he it is not fair though .', 'drink it , jeremy .', 'Camera i just let my brother out of it', 'top secret .']",[],False,0,1,20190208_142254,{}
I think she knows but she prefers another guy,0,bogus,"[""It wasn 't ..."", 'I do recognize that', ""Mamma I got caught Vic 's church and bring to you ."", ""ah , well you 've said anything do not tell anyone which , lies only ..."", 'Helen I .', ""It seems to me she doesn 't even have yours to know much ."", ""I think you 're about to ask for a change ."", 'Yeah , you have all the work to do .', ""Yeah but why she 's I up by her responsibilities as far as I have to do its own way"", 'I drank .']",[],False,0,1,20190208_142254,{}
Like go out to eat ?,0,bogus,"['No , it pisses me off .', ""They didn 't go to the lmperial Galactica ."", 'No ...', 'No .', ""I 'll be with you when you come home ."", 'Yes .', 'Uh-uh .', 'I did .', 'Come at daybreak .']",[],False,0,1,20190208_142254,{}
What are you ?,0,bogus,"[""I just don 't understand ."", ""Well , it 's just a basketball game ."", 'A character linked by cervical biology disorder .', 'Nothing .', 'A fire rat', 'Face factories live alot with me !', ""Don 't- -"", ""Let 's go !"", ""I 'm just so lazy ."", ""I 'm not a spy , but please enlighten me .""]",[],False,0,1,20190208_142254,{}
nope,0,bogus,"['he , uh , nope / ', 'CURSE HIS DRAGON nope .', 'I MEET YOU', ', nope .', 'IN THE ARMY .', '!', 'nope .', 'Eagle .', 'H - - nope -']",[],False,0,1,20190208_142254,{}
What is the square root of pi ?,0,bogus,"[""That 's the road is part of it ."", 'Sugar .', 'I have no idea .', ""What , I 'm talking about the middle price ."", 'Low at line , just ...', ""I 'm afraid it would be over 10 ."", '1 1985 .', 'What .', 'What , chef !', 'A 6 cent ice-cream will be four .']",[],False,0,1,20190208_142254,{}
I do enjoy watching soccer occassionally .,0,bogus,"['I feel similar with the Treasure volleyball Competition every day .', 'I .', ""Good , You 've not gonna do bad , playing witchcraft ."", 'Wish it was a Big Sis Contest .', ""Whoa , it 's Emmy De Niro ."", 'make It sound like a drum roll , love .', 'I so more than ever .', ""Gaby , you bring a big pizza . I 'll buy an Take on it ."", ""he goes after Him , say he 's horrible ."", 'Hell yeah , you rock .']",[],False,0,1,20190208_142254,{}
ok. but who is he ?,0,bogus,"['He is not a ruthless rogue .', 'Only the Master ... who aims to chocolate ok. and dine next to his naughty sister .', ""Boss , I 'm Lili ok. ."", ""The little fellow tryin ' to feed his buddies ."", ""That 's three society members from this council ."", 'Wait for him to go and see for himself .', 'When people flogged to death ...', ""You 're ok. killer ."", 'Only a man is looking at her in the body', ""I don 't know , but ...""]",[],False,0,1,20190208_142254,{}
Hi .,0,bogus,"['hi .', ""D ... I 'm hardly working important ."", 'Isabelle ...', ""Yeah , we 're going to Pilgrim Lake when we find Richard ."", 'Sorry .', 'Hi .', 'The snow is real nice .', 'Linda !', 'hello our Hi song together Barry is busy whenever he says it every day .', 'I made you a promise not to .']",[],False,0,1,20190208_142254,{}
"Sorry , I thought you might want to talk .",0,bogus,"[""Then I 'll turn that door upside down !"", 'Your mother has all of my problem due to thinking it .', ""I don 't know ."", 'Name !', 'welcome to the Sorry Opera , Sorry de Sorry .', 'not going to let you eat at all .', 'We got caught out up for the plague .', ', Mum have a pee .', 'I will come to work someday .', 'way .']",[],False,0,1,20190208_142254,{}
no,0,bogus,"['cooking no piece of shit .', 'a beetle case .', 'I just wanted to say that this morning .', 'because i need you , Benny , even my business partner .', 'Utah matters .', 'for life', 'fishy', 'in the sixth grade .', 'no money .', 'David .']",[],False,0,1,20190208_142254,{}
