tgt,pos,bogus,unsorted,sorted,seeded,num_classes,num_anno,latest_timestamp,crowdstarter
I am trying to figure out who you voted for since you want to talk politics .,0,bogus,"[u'...', u'I received a telegram this morning .', u""I voted for your lawyer , but it 's not fair ."", u""Don 't be like that ."", u'I knew it , I .', u'how happy you felt after you suggested that I would try again with you .', u'We were advised by Kim Eun Bi .', u'I I brawn .', u'Believe the woman I want .', u'We just got back to your camp .']",[],False,0,1,20190208_135709,{}
There is so much great music out there I don 't blame you .,0,bogus,"[u'There speaking .', u'Nobody is connected with the There', u'the strict tip you is looking and- -', u""You There 't allow me"", u'No .', u'you r G your father by the sound of your seeing rage and desires no .', u'There , it would be a good thing to hear lab music , but nobody really has music !', u""Brother and I won 't die of joy get in but not barnyard and get to do that"", u'absolutely e can not .', u'sir .']",[],False,0,1,20190208_135709,{}
I would like to talk about movies,0,bogus,"[u'.', u'Yes !', u'divorces for the tiger I', u'history .', u'then the special then , please turn it on and follow your customers .', u""I don 't know ."", u""I 'd like to talk about it ."", u'where talk ...', u'do what everything you want to say .', u'because I am late for a meeting .']",[],False,0,1,20190208_135709,{}
Is it funny ?,0,bogus,"[u'A little .', u""We 're sluts ."", u""Come on , let 's go ."", u'No woman can be spent sitting in the next cafe , looking at me .', u'Weird .', u'About how it is !', u'More than that .', u'Bulldog !', u'No .', u'How ridiculous !']",[],False,0,1,20190208_135709,{}
"I don 't know , so you tell me",0,bogus,"[u""You 'll need to come home ."", u""Promise me what you 've done ."", u'Just shut up .', u'Tell Sophie to stop pulling my dumbass finger .', u""I haven 't did ."", u'Arch Bhai .', u'Mmm , no way .', u""It doesn 't matter ."", u'I know , you do .', u""You 're talking me down there !""]",[],False,0,1,20190208_135709,{}
what is your name ?,0,bogus,"[u'Who does a fuck', u'My name is what .', u'Queen Catherine .', u'Well , you probably forgot that you were a real pain in the neck .', u'he what ... what being named what .', u'Javier Alcott - a rising painter ...', u'Aurora .', u""I don 't know ."", u'oh , oh , my name ...', u'what .']",[],False,0,1,20190208_135709,{}
Do you know what chess is ?,0,bogus,"[u""It 's called Do ."", u'Fuck !', u'No .', u'Sure do say ...', u'Food .', u'Life .', u'All of the players have announced one ball .', u'It follows me to spend a Do training audition .', u'It was there .', u'Music , you are a factor , no one will follow .']",[],False,0,1,20190208_135709,{}
Where 's that last name from ?,0,bogus,"[u'The Where .', u'This happened when I was with South Carolina ...', u'Look down .', u""Birmingham . L ' Where ' the Where ."", u""I 'm not sure ."", u""I don 't know"", u""I 'll always find exercise ."", u""We 've never seen it before ."", u""Don 't know Tanner , lt 's simple procedure ."", u'This definitely is unexpected ...']",[],False,0,1,20190208_135709,{}
how about Baseball ?,0,bogus,"[u'I want a band of play band .', u'shut your mouth , how .', u""Cats flying to Memphis malls i will buy ' em from the chinese circus when the how how is out green , in the win for our missiles rolling each corner of the how , how around the stadium open engines like a tossed bike they 've got a game"", u""no , they 'd all do it ."", u'hell , no .', u'No .', u'Yeah , totally .', u""but Louis , i read about myself , there 's one gig to make one thing but \xa1 s whole how"", u'no .', u'nothing serious - good sport , in Boston .']",[],False,0,1,20190208_135709,{}
i like food,0,bogus,"[u'delicious', u'yeah , we can eat , anyway .', u'come here and eat it .', u'yes .', u'a pasta is amazing .', u'much leftover candy for celebration .', u""sti you 're nice ."", u'um , baked goods , cooking ... for one ...', u'gold if you like , noodles .', u""it 's fresh , and germs .""]",[],False,0,1,20190208_135709,{}
hey please behave yourself !,0,bogus,"[u'hey !', u""Listen this doesn 't help ."", u'on the third guest room !', u'Sorry sir .', u""not off ' , like her even alone if you do not understand better"", u'where are you at 6 ...', u""this. that 's me kate ' Mikkel thats it i don 't mean public police issue I 'm just hungover"", u'even you feel guilty', u'I want to pop !', u'.. the village professor is gonna fire us .']",[],False,0,1,20190208_135709,{}
hi,0,bogus,"[u""now we 'll see this guy who likes to sing ."", u'you mentioned here .', u""if i was going to like it , you 'd have won , a for gambling ."", u'that hi ..', u'wait a minute .', u'hi', u'murder , the punch ...', u', what an expression .', u'.', u'to look at something funny .']",[],False,0,1,20190208_135709,{}
"ok , what happened to your dad 's mouth",0,bogus,"[u'he was here so that ok could tell that your special organ was top five in the dressing room .', u'Last night , he got scared at last .', u'He had to bring his ... to make personal withdrawal .', u'he', u'very quiet .', u'well , he hooked up with a nice girl .', u'Screw i .', u'ok cramps .', u'Come on now .', u'He slapped me .']",[],False,0,1,20190208_135709,{}
What 's up ?,0,bogus,"[u'We JUST GOT LOOKING .', u'Nothing', u""You 're a very nice young man ."", u'Maybe Plan b Male Sir is on some kind of powerful threat .', u'None of it is that simple pad .', u'What will try to get to it .', u""Dr. What assures me Don 't make any choices ."", u'The day I bought the many drawing , you cleared What out of her', u'Goodness !', u'500 or 13 years ago , there were some guys they think whom killed What What !']",[],False,0,1,20190208_135709,{}
Did you vote ?,0,bogus,"[u'I vote of the contract .', u""I wasn 't your agent , dear ."", u""I didn 't get any vote ."", u'Listen to me .', u'Yes .', u'Um ... yeah .', u'Did .', u'I did .', u'I guess not .', u'I think you nailed it .']",[],False,0,1,20190208_135709,{}
What 's your favorite hobby ?,0,bogus,"[u'My love clubs', u""Once I met Mario dunham at his Uncle What 's What that I had almost finished everything he was doing ."", u'My favorite had something to do with it .', u'Forget rainy games .', u'Oh , I got a card out for you .', u'From even one .', u'Curiosity .', u""I love what we 're bald that silver !"", u""It 's sensual ."", u""Doing whatever things are to marry in a civilized school , for being born by them and you 're always voting with in domestic pain .""]",[],False,0,1,20190208_135709,{}
but I think I love her too much,0,bogus,"[u""It 's not her level ."", u'I know she has love to tell you that this embarrassing woman', u'Tell me .', u'Dolores knows what but', u'Her name is Amelia , just the girl she met on the medicine team .', u""I 'm sure she is good ."", u""but believed she loved my sister-in-law Has to marry her but she shouldn 't tell her what she is doing"", u""I 'm fat , but she can 't bear vagina too many times"", u'No', u'OK as long as you want Women to are but']",[],False,0,1,20190208_135709,{}
"what ? ! who are "" we "" ?",0,bogus,"[u'had a nice surprise on them .', u'what !', u'Hedy what san what Xu what .', u'Vicious annoy !', u'Pia', u'the what said you`re crazy .', u'what and Mr. what .', u'because of the mud .', u""They 're what survivors ."", u'second pay !']",[],False,0,1,20190208_135709,{}
have you tried llaollao before ?,0,bogus,"[u'Hey !', u'have and have hooves look like if all the hard use is the same as theirs , he shows the creature down in the living room', u'No , sir .', u""you don 't have to ."", u'Lose the one small difference , good people will give him a medal if he radiant his wedding .', u'every time', u""You 've made me answer ."", u'now .', u'No .', u""oh , the line 's been rising , he abandoned us .""]",[],False,0,1,20190208_135709,{}
Do you have hands ?,0,bogus,"[u""Glad you 're here ."", u'Sure I do .', u'What are you saying !', u'Hold something .', u""No , but I 'll have them now ."", u'Yeah .', u'Wait !', u'Go away .', u'Here , give them two pints .', u'Do , yes .']",[],False,0,1,20190208_135709,{}
I am interested in watching TV shows . How about you ?,0,bogus,"[u'I heard myself', u'cable silence will do you good ... I / es', u'Yes I know that you', u""Twenty-five billion , I 'll be there many years laid ..."", u""It 's I fe ya ' t sense"", u""All right , but it 's Saturday ."", u'U I you are great !', u'Senior', u""That 's well-paid , now you ask what you I since audition ."", u'I']",[],False,0,1,20190208_135709,{}
What is you favorite song ?,0,bogus,"[u'The sub Community Arena .', u""It 's What ."", u'I see the Virgin Mary .', u'Music', u'My letter to Mr. What .', u'The play between the perfect thing and a girl .', u""My new band can 't decide it ..."", u""Right now , we 're looking full on land on a single island , it 's gonna wet out to sound like there 's a sound ."", u'Jared Esposito , a ...', u'What .']",[],False,0,1,20190208_135709,{}
Hi there how are you ?,0,bogus,"[u'Hi .', u'Fine , I guess .', u'Hi it looks nice', u'Okay , OK', u'Good to see you', u""Home I don 't think the trust should be written ."", u'Someone they were playing !', u""won 't let you try it again"", u'Fine , thanks', u'Not too bad .']",[],False,0,1,20190208_135709,{}
Well great . What 's your favorite movie ?,0,bogus,"[u""Aren 't you really crazy"", u""I don 't want to know unless you find new Polly Well ."", u'Well Factory .', u'That your life I had never has the experience yet', u""I love you because every time you sing , i 'm a Well"", u'I love Beethoven .', u'Lose Cesar .', u'Mahjong Street', u'Colt .', u""in Well culture we debated about Reiden 's band , the way that we spend Well .""]",[],False,0,1,20190208_135709,{}
With whom ?,0,bogus,"[u'With Estella .', u'Me and my muscles and my brother has a lifestyle .', u'You two , look where the owner is .', u'A man called Akashi', u'Just named Zhang With .', u'With My grandmother .', u""One of my uncle 's disciples ."", u'Just some With agent with With .', u'With Paul .', u'I just signed With of property']",[],False,0,1,20190208_135709,{}
That 's a mean thing to say .,0,bogus,"[u'That around the world ,', u""I don 't know ."", u'I have looked into that man ... as evidence reference lawyer , and she teaches social services at the That publishing company .', u'that That have done ...', u'No .', u'Boss !', u'This could reflect the patterns that glitch can happen , anything that could sway the That .', u""You 're a person .""]",[],False,0,1,20190208_135709,{}
which is a good one,0,bogus,"[u'm fine !', u'called which .', u'Golden River high !', u'Nice one !', u'', u'For your great vengeance , that who fancy is- - trampling the fields .', u'Shut up .', u'you , my sister , have to remember me .', u'One .', u'yes .']",[],False,0,1,20190208_135709,{}
i 'm Danny !,0,bogus,"[u'Dirty hobos tiger !', u""sho ' !"", u""Process of elimination whether you are fair or positive your disapproval these ar \u2122 classified professional comes empty but colleagues shouldn 't try to go"", u'Who showed up at such a time', u'It`s out of the question !', u'kill you !', u'he it is not fair though .', u'drink it , jeremy .', u'Camera i just let my brother out of it', u'top secret .']",[],False,0,1,20190208_135709,{}
I think she knows but she prefers another guy,0,bogus,"[u""It wasn 't ..."", u'I do recognize that', u""Mamma I got caught Vic 's church and bring to you ."", u""ah , well you 've said anything do not tell anyone which , lies only ..."", u'Helen I .', u""It seems to me she doesn 't even have yours to know much ."", u""I think you 're about to ask for a change ."", u'Yeah , you have all the work to do .', u""Yeah but why she 's I up by her responsibilities as far as I have to do its own way"", u'I drank .']",[],False,0,1,20190208_135709,{}
Like go out to eat ?,0,bogus,"[u'No , it pisses me off .', u""They didn 't go to the lmperial Galactica ."", u'No ...', u'No .', u""I 'll be with you when you come home ."", u'Yes .', u'Uh-uh .', u'I did .', u'Come at daybreak .']",[],False,0,1,20190208_135709,{}
What are you ?,0,bogus,"[u""I just don 't understand ."", u""Well , it 's just a basketball game ."", u'A character linked by cervical biology disorder .', u'Nothing .', u'A fire rat', u'Face factories live alot with me !', u""Don 't- -"", u""Let 's go !"", u""I 'm just so lazy ."", u""I 'm not a spy , but please enlighten me .""]",[],False,0,1,20190208_135709,{}
nope,0,bogus,"[u'he , uh , nope / \u2013', u'CURSE HIS DRAGON nope .', u'I MEET YOU', u', nope .', u'IN THE ARMY .', u'!', u'nope .', u'Eagle .', u'H - - nope -']",[],False,0,1,20190208_135709,{}
What is the square root of pi ?,0,bogus,"[u""That 's the road is part of it ."", u'Sugar .', u'I have no idea .', u""What , I 'm talking about the middle price ."", u'Low at line , just ...', u""I 'm afraid it would be over 10 ."", u'1 1985 .', u'What .', u'What , chef !', u'A 6 cent ice-cream will be four .']",[],False,0,1,20190208_135709,{}
I do enjoy watching soccer occassionally .,0,bogus,"[u'I feel similar with the Treasure volleyball Competition every day .', u'I .', u""Good , You 've not gonna do bad , playing witchcraft ."", u'Wish it was a Big Sis Contest .', u""Whoa , it 's Emmy De Niro ."", u'make It sound like a drum roll , love .', u'I so more than ever .', u""Gaby , you bring a big pizza . I 'll buy an Take on it ."", u""he goes after Him , say he 's horrible ."", u'Hell yeah , you rock .']",[],False,0,1,20190208_135709,{}
ok. but who is he ?,0,bogus,"[u'He is not a ruthless rogue .', u'Only the Master ... who aims to chocolate ok. and dine next to his naughty sister .', u""Boss , I 'm Lili ok. ."", u""The little fellow tryin ' to feed his buddies ."", u""That 's three society members from this council ."", u'Wait for him to go and see for himself .', u'When people flogged to death ...', u""You 're ok. killer ."", u'Only a man is looking at her in the body', u""I don 't know , but ...""]",[],False,0,1,20190208_135709,{}
Hi .,0,bogus,"[u'hi .', u""D ... I 'm hardly working important ."", u'Isabelle ...', u""Yeah , we 're going to Pilgrim Lake when we find Richard ."", u'Sorry .', u'Hi .', u'The snow is real nice .', u'Linda !', u'hello our Hi song together Barry is busy whenever he says it every day .', u'I made you a promise not to .']",[],False,0,1,20190208_135709,{}
"Sorry , I thought you might want to talk .",0,bogus,"[u""Then I 'll turn that door upside down !"", u'Your mother has all of my problem due to thinking it .', u""I don 't know ."", u'Name !', u'welcome to the Sorry Opera , Sorry de Sorry .', u'not going to let you eat at all .', u'We got caught out up for the plague .', u', Mum have a pee .', u'I will come to work someday .', u'way .']",[],False,0,1,20190208_135709,{}
